
Date(UTC)	Pair	Side	Price	undefined	E	undefined	A	undefined	F
2023/05/10 18:02:06	ETHBTC	BUY	0,0664970000	0,8960000000	ETH	0,05958131	BTC	0,0008960000	ETH
2023/05/10 18:02:06	ETHBTC	BUY	0,0664970000	0,6657000000	ETH	0,04426705	BTC	0,0006657000	ETH
2023/05/10 18:02:06	ETHBTC	BUY	0,0664970000	1,0000000000	ETH	0,06649700	BTC	0,0010000000	ETH
2023/05/10 18:00:11	ETHUSDT	BUY	1831,0100000000	2,8587000000	ETH	5234,30828700	USDT	0,0028587000	ETH
2023/05/10 17:59:49	ARBUSDT	SELL	1,1522000000	1271,5000000000	ARB	1465,02230000	USDT	1,4650223000	USDT
2023/05/10 17:59:49	ARBUSDT	SELL	1,1521000000	265,4000000000	ARB	305,76734000	USDT	0,3057673400	USDT
2023/05/10 17:59:49	ARBUSDT	SELL	1,1523000000	500,1000000000	ARB	576,26523000	USDT	0,5762652300	USDT
2023/05/10 17:59:49	ARBUSDT	SELL	1,1522000000	395,9000000000	ARB	456,15598000	USDT	0,4561559800	USDT
2023/05/10 17:59:49	ARBUSDT	SELL	1,1524000000	2114,0000000000	ARB	2436,17360000	USDT	2,4361736000	USDT
2023/05/10 17:56:07	ETHUSDT	BUY	1823,8600000000	0,0057000000	ETH	10,39600200	USDT	0,0000057000	ETH
2023/05/10 17:56:07	ETHUSDT	BUY	1823,8600000000	0,6260000000	ETH	1141,73636000	USDT	0,0006260000	ETH
2023/05/05 15:03:54	ETHUSDT	BUY	1952,6000000000	0,0833000000	ETH	162,65158000	USDT	0,0000833000	ETH
2023/05/05 15:03:54	ETHUSDT	BUY	1952,6000000000	0,1727000000	ETH	337,21402000	USDT	0,0001727000	ETH
2023/05/01 19:12:14	ARBUSDT	BUY	1,3000000000	553,8000000000	ARB	719,94000000	USDT	0,5538000000	ARB
2023/05/01 19:12:14	ARBUSDT	BUY	1,3000000000	40,1000000000	ARB	52,13000000	USDT	0,0401000000	ARB
2023/05/01 19:12:14	ARBUSDT	BUY	1,3000000000	107,2000000000	ARB	139,36000000	USDT	0,1072000000	ARB
2023/05/01 19:12:14	ARBUSDT	BUY	1,3000000000	2310,0000000000	ARB	3003,00000000	USDT	2,3100000000	ARB
2023/05/01 19:12:14	ARBUSDT	BUY	1,3000000000	221,3000000000	ARB	287,69000000	USDT	0,2213000000	ARB
2023/05/01 19:12:13	ARBUSDT	BUY	1,3000000000	20,9000000000	ARB	27,17000000	USDT	0,0209000000	ARB
2023/05/01 19:12:13	ARBUSDT	BUY	1,3000000000	330,9000000000	ARB	430,17000000	USDT	0,3309000000	ARB
2023/05/01 19:12:13	ARBUSDT	BUY	1,3000000000	261,9000000000	ARB	340,47000000	USDT	0,2619000000	ARB
2023/04/19 08:43:52	BTCUSDT	BUY	29320,4300000000	0,1705200000	BTC	4999,71972360	USDT	0,0001705200	BTC
2023/04/14 08:06:10	ARBUSDT	SELL	1,5320000000	3270,2000000000	ARB	5009,94640000	USDT	5,0099464000	USDT
2023/04/10 22:02:32	BTCUSDT	SELL	29490,0000000000	0,1779800000	BTC	5248,63020000	USDT	5,2486302000	USDT
2023/04/09 19:16:16	BTCUSDT	SELL	28120,0000000000	0,0358500000	BTC	1008,10200000	USDT	1,0081020000	USDT
2023/04/09 14:35:25	BTCUSDT	BUY	27857,8200000000	0,0358900000	BTC	999,81715980	USDT	0,0000358900	BTC
2023/04/08 11:20:57	ETHUSDT	BUY	1868,0600000000	0,5700000000	ETH	1064,79420000	USDT	0,0005700000	ETH
2023/04/08 11:20:57	ETHUSDT	BUY	1868,0600000000	0,9592000000	ETH	1791,84315200	USDT	0,0009592000	ETH
2023/04/08 11:20:57	ETHUSDT	BUY	1868,0600000000	0,1565000000	ETH	292,35139000	USDT	0,0001565000	ETH
2023/04/08 11:20:57	ETHUSDT	BUY	1868,0600000000	1,0621000000	ETH	1984,06652600	USDT	0,0010621000	ETH
2023/04/08 11:20:57	ETHUSDT	BUY	1868,0600000000	2,5658000000	ETH	4793,06834800	USDT	0,0025658000	ETH
2023/04/08 11:20:57	ETHUSDT	BUY	1868,0600000000	0,0395000000	ETH	73,78837000	USDT	0,0000395000	ETH
2023/04/05 15:37:53	BTCUSDT	BUY	28065,8900000000	0,1781500000	BTC	4999,93830350	USDT	0,0001781500	BTC
2023/04/05 00:33:37	BTCUSDT	SELL	28394,0000000000	0,0711000000	BTC	2018,81340000	USDT	2,0188134000	USDT
2023/04/04 15:08:29	BTCUSDT	BUY	28101,1900000000	0,0711700000	BTC	1999,96169230	USDT	0,0000711700	BTC
2023/04/04 11:08:30	BTCUSDT	SELL	28441,0000000000	0,0070000000	BTC	199,08700000	USDT	0,1990870000	USDT
2023/04/04 11:08:30	BTCUSDT	SELL	28441,0000000000	0,0277000000	BTC	787,81570000	USDT	0,7878157000	USDT
2023/04/04 11:08:30	BTCUSDT	SELL	28441,0000000000	0,0007600000	BTC	21,61516000	USDT	0,0216151600	USDT
2023/04/03 12:31:28	BTCUSDT	BUY	28168,0000000000	0,0355000000	BTC	999,96400000	USDT	0,0000355000	BTC
2023/04/03 10:30:46	BTCUSDT	SELL	28464,0000000000	0,0307500000	BTC	875,26800000	USDT	0,8752680000	USDT
2023/04/03 10:30:46	BTCUSDT	SELL	28464,0000000000	0,0044400000	BTC	126,38016000	USDT	0,1263801600	USDT
2023/04/02 10:32:59	BTCUSDT	BUY	28376,9800000000	0,0352300000	BTC	999,72100540	USDT	0,0000352300	BTC
2023/03/29 10:19:03	BUSDUSDT	BUY	0,9997000000	400,0000000000	BUSD	399,88000000	USDT	0,0000000000	BUSD
2023/03/29 08:55:36	BTCUSDT	SELL	28528,7900000000	0,5605000000	BTC	15990,38679500	USDT	15,9903868000	USDT
2023/03/27 15:09:37	BTCUSDT	BUY	26727,6900000000	0,0037100000	BTC	99,15972990	USDT	0,0000037100	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26734,1100000000	0,0165700000	BTC	442,98420270	USDT	0,0000165700	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26727,3200000000	0,0010800000	BTC	28,86550560	USDT	0,0000010800	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26727,3100000000	0,0022300000	BTC	59,60190130	USDT	0,0000022300	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26727,2900000000	0,0063100000	BTC	168,64919990	USDT	0,0000063100	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26730,5400000000	0,0112200000	BTC	299,91665880	USDT	0,0000112200	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26734,0000000000	0,0066900000	BTC	178,85046000	USDT	0,0000066900	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26735,5400000000	0,0151000000	BTC	403,70665400	USDT	0,0000151000	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26730,5400000000	0,0004100000	BTC	10,95952140	USDT	0,0000004100	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26729,9200000000	0,0127300000	BTC	340,27188160	USDT	0,0000127300	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26735,5200000000	0,1120000000	BTC	2994,37824000	USDT	0,0001120000	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26733,0100000000	0,1145300000	BTC	3061,73163530	USDT	0,0001145300	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26733,0200000000	0,0935700000	BTC	2501,40868140	USDT	0,0000935700	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26728,6300000000	0,0066300000	BTC	177,21081690	USDT	0,0000066300	BTC
2023/03/27 15:09:37	BTCUSDT	BUY	26731,0000000000	0,0005000000	BTC	13,36550000	USDT	0,0000005000	BTC
